firm_name,challenge_name,account_size,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url
FuturesElite,Instant Challenge 150K,150000,,,,,,,,required,20,
Goat Funded Futures,Sprint Challenge 25K,25000,,,,,,,,not_required,,
Goat Funded Futures,Instant Funded 25K,25000,,,,,,,,required,20,
Goat Funded Futures,EOD Challenge 50K,50000,,,,,,,,required,50,
Goat Funded Futures,Sprint Challenge 50K,50000,,,,,,,,not_required,,
Goat Funded Futures,Instant Funded 50K,50000,,,,,,,,required,20,
Goat Funded Futures,Flex Challenge 50K,50000,,,,,,,,not_required,,
Goat Funded Futures,Instant Funded 75K,75000,,,,,,,,required,20,
Goat Funded Futures,EOD Challenge 100K,100000,,,,,,,,required,50,
Goat Funded Futures,Sprint Challenge 100K,100000,,,,,,,,not_required,,
Goat Funded Futures,Instant Funded 100K,100000,,,,,,,,required,20,
Goat Funded Futures,Flex Challenge 100K,100000,,,,,,,,not_required,,
Goat Funded Futures,EOD Challenge 150K,150000,,,,,,,,required,50,
Goat Funded Futures,Instant Funded 150K,150000,,,,,,,,required,20,
Goat Funded Futures,Flex Challenge 150K,150000,,,,,,,,not_required,,
Goat Funded Trader,Instant 5K,5000,,,,,,,,,,
Goat Funded Trader,Instant 10K,10000,,,,,,,,,,
Goat Funded Trader,2-Step 25K,25000,,,,,,,,,,
Goat Funded Trader,2-Step 50K,50000,,,,,,,,,,
Goat Funded Trader,2-Step 100K,100000,,,,,,,,,,
Hola Prime,2-Step 2K,2000,,,,,,,,,,
Hola Prime,2-Step 5K,5000,,,,,,,,,,
Hola Prime,2-Step 10K,10000,,,,,,,,,,
Hola Prime,2-Step 25K,25000,,,,,,,,,,
Hola Prime,Instant 25K,25000,,,,,,,,,,
Hola Prime,1-Step 50K,50000,,,,,,,,,,
Hola Prime,Instant 50K,50000,,,,,,,,,,
Hola Prime Futures,1-Step 50K,50000,restricted,prohibited,prohibited,allowed,prohibited,,allowed,required,40,
Lucid Trading,LucidFlex 25K,25000,,,,,,,,not_required,,
Lucid Trading,LucidPro 25K,25000,,,,,,,,required,40,
Lucid Trading,LucidFlex 50K,50000,,,,,,,,not_required,,
Lucid Trading,LucidPro 50K,50000,,,,,,,,required,40,
Lucid Trading,LucidDaily Intraday DLL 50K,50000,,,,,,,,required,50,
Lucid Trading,LucidDaily EOD DLL 50K,50000,,,,,,,,required,50,
Lucid Trading,LucidDirect 50K,50000,,,,,,,,,,
Lucid Trading,LucidFlex 100K,100000,,,,,,,,not_required,,
Lucid Trading,LucidPro 100K,100000,,,,,,,,required,40,
Lucid Trading,LucidFlex 150K,150000,,,,,,,,not_required,,
Lucid Trading,LucidPro 150K,150000,,,,,,,,required,40,
Maven,1-Step 5K,5000,,,,,,,,,,
Maven,2-Step 5K,5000,,,,,,,,,,
Maven,1-Step 10K,10000,,,,,,,,,,
Maven,2-Step 10K,10000,,,,,,,,,,
Maven,1-Step 20K,20000,,,,,,,,,,
Maven,2-Step 20K,20000,,,,,,,,,,
Maven,1-Step 50K,50000,,,,,,,,,,
Maven,2-Step 50K,50000,,,,,,,,,,
Maven,1-Step 100K,100000,,,,,,,,,,
Maven,2-Step 100K,100000,,,,,,,,,,
Moneta Funded,1-Step 10K,10000,,,,,,,,,,
Moneta Funded,Instant 10K,10000,,,,,,,,,,
Moneta Funded,2-Step 25K,25000,,,,,,,,,,
Moneta Funded,Instant 25K,25000,,,,,,,,,,
Moneta Funded,2-Step 50K,50000,,,,,,,,,,
Moneta Funded,2-Step 100K,100000,,,,,,,,,,
My Funded Futures,Rapid 25K,25000,,,,,,,,not_required,,
My Funded Futures,Builder 25K,25000,,,,,,,,,,
My Funded Futures,Rapid 25K Trailing 25K,25000,,,,,,,,,,
My Funded Futures,Rapid 50K,50000,,,,,,,,not_required,,
My Funded Futures,Pro 50K,50000,restricted,,,,,,,required,50,
My Funded Futures,Builder 50K,50000,,,,,,,,,,
My Funded Futures,Flex 50K,50000,,,,,,,,,,
My Funded Futures,Rapid EOD 50K,50000,,,,,,,,,,
My Funded Futures,Rapid 100K,100000,,,,,,,,not_required,,
My Funded Futures,Pro 100K,100000,restricted,,,,,,,required,50,
My Funded Futures,Builder 100K,100000,,,,,,,,,,
My Funded Futures,Rapid 150K,150000,,,,,,,,not_required,,
My Funded Futures,Pro 150K,150000,restricted,,,,,,,required,50,
My Funded Futures,Builder 150K,150000,,,,,,,,,,
Take Profit Trader,Evaluation 50K,50000,,,,,,,,required,50,
Take Profit Trader,Evaluation 75K,75000,,,,,,,,required,50,
Take Profit Trader,Evaluation 100K,100000,,,,,,,,required,50,
Take Profit Trader,Evaluation 150K,150000,,,,,,,,required,50,
The Trading Pit Futures,Futures Classic 20K,20000,,allowed,prohibited,,,,,required,40,
The Trading Pit Futures,Futures Prime 50K,50000,,allowed,prohibited,,,,,required,40,
The Trading Pit Futures,Futures Prime 100K,100000,,allowed,prohibited,,,,,required,40,
The Trading Pit Futures,Futures Prime 150K,150000,,allowed,prohibited,,,,,required,40,
The Trading Pit Futures,Futures Classic 150K,150000,,allowed,prohibited,,,,,required,40,
The Trading Pit Futures,Futures Classic 200K,200000,,allowed,prohibited,,,,,required,40,
The Trading Pit Futures,Futures Classic 250K,250000,,allowed,prohibited,,,,,required,40,
The5ers,2-Step 5K,5000,,,,,,,,,,
The5ers,1-Step 5K,5000,,,,,,,,,,
The5ers,2-Step 10K,10000,,,,,,,,,,
The5ers,1-Step 10K,10000,,,,,,,,,,
The5ers,1-Step 20K,20000,,,,,,,,,,
The5ers,2-Step 25K,25000,,,,,,,,,,
The5ers,2-Step 50K,50000,,,,,,,,,,
The5ers,2-Step 100K,100000,,,,,,,,,,
The5ers,3-Step 100K,100000,,,,,,,,,,
The5ers,3-Step 250K,250000,,,,,,,,,,
The5ers Futures,Day Trade 25K,25000,allowed,prohibited,,,,,,required,40,
The5ers Futures,Swing 25K,25000,,allowed,prohibited,,,,,required,40,
The5ers Futures,Day Trade 50K,50000,allowed,prohibited,,,,,,required,40,
The5ers Futures,Swing 50K,50000,,allowed,prohibited,,,,,required,40,
Top One Futures,Elite Access 25K,25000,,,,,,,,required,40,
Top One Futures,Elite Evaluation 25K,25000,,,,,,,,required,25,
Top One Futures,Elite Daily 25K,25000,,,,,,,,required,40,
Top One Futures,Instant 25K,25000,,,,,,,,required,20,
Top One Futures,Instant Sim Funded 25K,25000,,,,,,,,required,20,
Top One Futures,Elite Access 50K,50000,,,,,,,,required,40,
Top One Futures,Elite Evaluation 50K,50000,,,,,,,,required,25,
Top One Futures,Elite Daily 50K,50000,,,,,,,,required,40,
Top One Futures,Instant 50K,50000,,,,,,,,required,20,
Top One Futures,Ignite 50K,50000,,,,,,,,required,15,
Top One Futures,Instant Sim Funded 50K,50000,,,,,,,,required,20,
Top One Futures,Elite Access 100K,100000,,,,,,,,required,40,
Top One Futures,Elite Evaluation 100K,100000,,,,,,,,required,25,
Top One Futures,Elite Daily 100K,100000,,,,,,,,required,40,
Top One Futures,Ignite 100K,100000,,,,,,,,required,15,
Top One Futures,Instant Sim Funded 100K,100000,,,,,,,,required,20,
Top One Futures,Elite Access 150K,150000,,,,,,,,required,40,
Top One Futures,Elite Evaluation 150K,150000,,,,,,,,required,25,
Top One Futures,Elite Daily 150K,150000,,,,,,,,required,40,
Top One Futures,Ignite 150K,150000,,,,,,,,required,15,
Top One Futures,Instant Sim Funded 150K,150000,,,,,,,,required,20,
Topstep,Trading Combine 50K,50000,,,,,,,,required,50,
Topstep,Trading Combine No Activation Fee 50K,50000,,,,,,,,required,50,
Topstep,Trading Combine 100K,100000,,,,,,,,required,50,
Topstep,Trading Combine No Activation Fee 100K,100000,,,,,,,,required,50,
Topstep,Trading Combine 150K,150000,,,,,,,,required,50,
Topstep,Trading Combine No Activation Fee 150K,150000,,,,,,,,required,50,
TradeDay,Quick Pay EOD 50K,50000,,,,,,,,required,30,
TradeDay,Quick Pay Intraday 50K,50000,,,,,,,,required,30,
TradeDay,Fast Pass 50K,50000,,,,,,,,required,45,
TradeDay,Quick Pay EOD 100K,100000,,,,,,,,required,30,
TradeDay,Quick Pay Intraday 100K,100000,,,,,,,,required,30,
TradeDay,Fast Pass 100K,100000,,,,,,,,required,45,
TradeDay,Quick Pay EOD 150K,150000,,,,,,,,required,30,
TradeDay,Quick Pay Intraday 150K,150000,,,,,,,,required,30,
TradeDay,Fast Pass 150K,150000,,,,,,,,required,45,
Tradeify,Growth 25K,25000,,,,,,,,not_required,35,
Tradeify,Select 25K,25000,,,,,,,,required,40,
Tradeify,Lightning Funded 25K,25000,,,,,,,,required,30,
Tradeify,Growth 50K,50000,,,,,,,,not_required,35,
Tradeify,Select 50K,50000,,,,,,,,required,40,
Tradeify,Lightning Funded 50K,50000,,,,,,,,required,30,
Tradeify,Growth 100K,100000,,,,,,,,not_required,35,
Tradeify,Select 100K,100000,,,,,,,,required,40,
Tradeify,Lightning Funded 100K,100000,,,,,,,,required,30,
Tradeify,Growth 150K,150000,,,,,,,,not_required,35,
Tradeify,Select 150K,150000,,,,,,,,required,40,
Tradeify,Lightning Funded 150K,150000,,,,,,,,required,30,
Traders Launch,Futures Evaluation 100K,100000,,,,,,,,required,40,
Traders Launch,Futures Evaluation 200K,200000,,,,,,,,required,40,
Traders Launch,Futures Evaluation 300K,300000,,,,,,,,required,40,
Traders Launch,Futures Evaluation 80% Split 300K,300000,,,,,,,,,,
Ylos Trading,Standard 50K,50000,,,,,,,,required,40,
Ylos Trading,Standard 100K,100000,,,,,,,,required,40,
Ylos Trading,Standard 150K,150000,,,,,,,,required,40,
